2016-07-19 20:39:29 status unpacked base-passwd:arm64 3.5.39
2016-07-19 20:39:29 status unpacked base-passwd:arm64 3.5.39
2016-07-19 20:39:29 install bash:arm64 <none> 4.3-14ubuntu1
2016-07-19 20:39:29 status half-installed bash:arm64 4.3-14ubuntu1
2016-07-19 20:39:29 status unpacked bash:arm64 4.3-14ubuntu1
2016-07-19 20:39:29 status unpacked bash:arm64 4.3-14ubuntu1
2016-07-19 20:39:29 install bsdutils:arm64 <none> 1:2.27.1-6ubuntu3
2016-07-19 20:39:29 status half-installed bsdutils:arm64 1:2.27.1-6ubuntu3
2016-07-19 20:39:29 status unpacked bsdutils:arm64 1:2.27.1-6ubuntu3
2016-07-19 20:39:29 status unpacked bsdutils:arm64 1:2.27.1-6ubuntu3
2016-07-19 20:39:29 install coreutils:arm64 <none> 8.25-2ubuntu2
2016-07-19 20:39:29 status half-installed coreutils:arm64 8.25-2ubuntu2
2016-07-19 20:39:29 status unpacked coreutils:arm64 8.25-2ubuntu2
2016-07-19 20:39:29 status unpacked coreutils:arm64 8.25-2ubuntu2
2016-07-19 20:39:29 install dash:arm64 <none> 0.5.8-2.1ubuntu2
2016-07-19 20:39:29 status half-installed dash:arm64 0.5.8-2.1ubuntu2
2016-07-19 20:39:29 status unpacked dash:arm64 0.5.8-2.1ubuntu2
2016-07-19 20:39:29 status unpacked dash:arm64 0.5.8-2.1ubuntu2
2016-07-19 20:39:29 install debconf:all <none> 1.5.58ubuntu1
2016-07-19 20:39:29 status half-installed debconf:all 1.5.58ubuntu1
2016-07-19 20:39:30 status unpacked debconf:all 1.5.58ubuntu1
2016-07-19 20:39:30 status unpacked debconf:all 1.5.58ubuntu1
2016-07-19 20:39:30 install debianutils:arm64 <none> 4.7
2016-07-19 20:39:30 status half-installed debianutils:arm64 4.7
2016-07-19 20:39:30 status unpacked debianutils:arm64 4.7
2016-07-19 20:39:30 status unpacked debianutils:arm64 4.7
2016-07-19 20:39:30 install diffutils:arm64 <none> 1:3.3-3
2016-07-19 20:39:30 status half-installed diffutils:arm64 1:3.3-3
2016-07-19 20:39:30 status unpacked diffutils:arm64 1:3.3-3
2016-07-19 20:39:30 status unpacked diffutils:arm64 1:3.3-3
2016-07-19 20:39:30 upgrade dpkg:arm64 1.18.4ubuntu1 1.18.4ubuntu1
2016-07-19 20:39:30 status half-configured dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:30 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:30 status half-installed dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:30 status half-installed dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:30 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:30 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:30 install e2fslibs:arm64 <none> 1.42.13-1ubuntu1
2016-07-19 20:39:30 status half-installed e2fslibs:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:30 status unpacked e2fslibs:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:30 status unpacked e2fslibs:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:30 install e2fsprogs:arm64 <none> 1.42.13-1ubuntu1
2016-07-19 20:39:30 status half-installed e2fsprogs:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:30 status unpacked e2fsprogs:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:30 status unpacked e2fsprogs:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:30 install findutils:arm64 <none> 4.6.0+git+20160126-2
2016-07-19 20:39:30 status half-installed findutils:arm64 4.6.0+git+20160126-2
2016-07-19 20:39:30 status unpacked findutils:arm64 4.6.0+git+20160126-2
2016-07-19 20:39:30 status unpacked findutils:arm64 4.6.0+git+20160126-2
2016-07-19 20:39:30 install gcc-6-base:arm64 <none> 6.0.1-0ubuntu1
2016-07-19 20:39:30 status half-installed gcc-6-base:arm64 6.0.1-0ubuntu1
2016-07-19 20:39:30 status unpacked gcc-6-base:arm64 6.0.1-0ubuntu1
2016-07-19 20:39:30 status unpacked gcc-6-base:arm64 6.0.1-0ubuntu1
2016-07-19 20:39:30 install grep:arm64 <none> 2.24-1
2016-07-19 20:39:30 status half-installed grep:arm64 2.24-1
2016-07-19 20:39:30 status unpacked grep:arm64 2.24-1
2016-07-19 20:39:30 status unpacked grep:arm64 2.24-1
2016-07-19 20:39:30 install gzip:arm64 <none> 1.6-4ubuntu1
2016-07-19 20:39:30 status half-installed gzip:arm64 1.6-4ubuntu1
2016-07-19 20:39:30 status unpacked gzip:arm64 1.6-4ubuntu1
2016-07-19 20:39:30 status unpacked gzip:arm64 1.6-4ubuntu1
2016-07-19 20:39:30 install hostname:arm64 <none> 3.16ubuntu2
2016-07-19 20:39:30 status half-installed hostname:arm64 3.16ubuntu2
2016-07-19 20:39:30 status unpacked hostname:arm64 3.16ubuntu2
2016-07-19 20:39:30 status unpacked hostname:arm64 3.16ubuntu2
2016-07-19 20:39:30 install init:arm64 <none> 1.29ubuntu1
2016-07-19 20:39:30 status half-installed init:arm64 1.29ubuntu1
2016-07-19 20:39:30 status unpacked init:arm64 1.29ubuntu1
2016-07-19 20:39:30 status unpacked init:arm64 1.29ubuntu1
2016-07-19 20:39:30 install init-system-helpers:all <none> 1.29ubuntu1
2016-07-19 20:39:30 status half-installed init-system-helpers:all 1.29ubuntu1
2016-07-19 20:39:30 status unpacked init-system-helpers:all 1.29ubuntu1
2016-07-19 20:39:30 status unpacked init-system-helpers:all 1.29ubuntu1
2016-07-19 20:39:30 install initscripts:arm64 <none> 2.88dsf-59.3ubuntu2
2016-07-19 20:39:30 status half-installed initscripts:arm64 2.88dsf-59.3ubuntu2
2016-07-19 20:39:31 status unpacked initscripts:arm64 2.88dsf-59.3ubuntu2
2016-07-19 20:39:31 status unpacked initscripts:arm64 2.88dsf-59.3ubuntu2
2016-07-19 20:39:31 install insserv:arm64 <none> 1.14.0-5ubuntu3
2016-07-19 20:39:31 status half-installed insserv:arm64 1.14.0-5ubuntu3
2016-07-19 20:39:31 status unpacked insserv:arm64 1.14.0-5ubuntu3
2016-07-19 20:39:31 status unpacked insserv:arm64 1.14.0-5ubuntu3
2016-07-19 20:39:31 install libacl1:arm64 <none> 2.2.52-3
2016-07-19 20:39:31 status half-installed libacl1:arm64 2.2.52-3
2016-07-19 20:39:31 status unpacked libacl1:arm64 2.2.52-3
2016-07-19 20:39:31 status unpacked libacl1:arm64 2.2.52-3
2016-07-19 20:39:31 install libapparmor1:arm64 <none> 2.10.95-0ubuntu2
2016-07-19 20:39:31 status half-installed libapparmor1:arm64 2.10.95-0ubuntu2
2016-07-19 20:39:31 status unpacked libapparmor1:arm64 2.10.95-0ubuntu2
2016-07-19 20:39:31 status unpacked libapparmor1:arm64 2.10.95-0ubuntu2
2016-07-19 20:39:31 install libattr1:arm64 <none> 1:2.4.47-2
2016-07-19 20:39:31 status half-installed libattr1:arm64 1:2.4.47-2
2016-07-19 20:39:31 status unpacked libattr1:arm64 1:2.4.47-2
2016-07-19 20:39:31 status unpacked libattr1:arm64 1:2.4.47-2
2016-07-19 20:39:31 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2016-07-19 20:39:31 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2016-07-19 20:39:31 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2016-07-19 20:39:31 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2016-07-19 20:39:31 install libaudit1:arm64 <none> 1:2.4.5-1ubuntu2
2016-07-19 20:39:31 status half-installed libaudit1:arm64 1:2.4.5-1ubuntu2
2016-07-19 20:39:31 status unpacked libaudit1:arm64 1:2.4.5-1ubuntu2
2016-07-19 20:39:31 status unpacked libaudit1:arm64 1:2.4.5-1ubuntu2
2016-07-19 20:39:31 install libblkid1:arm64 <none> 2.27.1-6ubuntu3
2016-07-19 20:39:31 status half-installed libblkid1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:31 status unpacked libblkid1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:31 status unpacked libblkid1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:31 install libbz2-1.0:arm64 <none> 1.0.6-8
2016-07-19 20:39:31 status half-installed libbz2-1.0:arm64 1.0.6-8
2016-07-19 20:39:31 status unpacked libbz2-1.0:arm64 1.0.6-8
2016-07-19 20:39:31 status unpacked libbz2-1.0:arm64 1.0.6-8
2016-07-19 20:39:31 install libc-bin:arm64 <none> 2.23-0ubuntu3
2016-07-19 20:39:31 status half-installed libc-bin:arm64 2.23-0ubuntu3
2016-07-19 20:39:31 status unpacked libc-bin:arm64 2.23-0ubuntu3
2016-07-19 20:39:31 status unpacked libc-bin:arm64 2.23-0ubuntu3
2016-07-19 20:39:31 upgrade libc6:arm64 2.23-0ubuntu3 2.23-0ubuntu3
2016-07-19 20:39:31 status half-configured libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:31 status unpacked libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:31 status half-installed libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:32 status half-installed libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:32 status unpacked libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:32 status unpacked libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:32 install libcap2:arm64 <none> 1:2.24-12
2016-07-19 20:39:32 status half-installed libcap2:arm64 1:2.24-12
2016-07-19 20:39:32 status unpacked libcap2:arm64 1:2.24-12
2016-07-19 20:39:32 status unpacked libcap2:arm64 1:2.24-12
2016-07-19 20:39:32 install libcap2-bin:arm64 <none> 1:2.24-12
2016-07-19 20:39:32 status half-installed libcap2-bin:arm64 1:2.24-12
2016-07-19 20:39:32 status unpacked libcap2-bin:arm64 1:2.24-12
2016-07-19 20:39:32 status unpacked libcap2-bin:arm64 1:2.24-12
2016-07-19 20:39:32 install libcomerr2:arm64 <none> 1.42.13-1ubuntu1
2016-07-19 20:39:32 status half-installed libcomerr2:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:32 status unpacked libcomerr2:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:32 status unpacked libcomerr2:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:32 install libcryptsetup4:arm64 <none> 2:1.6.6-5ubuntu2
2016-07-19 20:39:32 status half-installed libcryptsetup4:arm64 2:1.6.6-5ubuntu2
2016-07-19 20:39:32 status unpacked libcryptsetup4:arm64 2:1.6.6-5ubuntu2
2016-07-19 20:39:32 status unpacked libcryptsetup4:arm64 2:1.6.6-5ubuntu2
2016-07-19 20:39:32 install libdb5.3:arm64 <none> 5.3.28-11
2016-07-19 20:39:32 status half-installed libdb5.3:arm64 5.3.28-11
2016-07-19 20:39:32 status unpacked libdb5.3:arm64 5.3.28-11
2016-07-19 20:39:32 status unpacked libdb5.3:arm64 5.3.28-11
2016-07-19 20:39:32 install libdebconfclient0:arm64 <none> 0.198ubuntu1
2016-07-19 20:39:32 status half-installed libdebconfclient0:arm64 0.198ubuntu1
2016-07-19 20:39:32 status unpacked libdebconfclient0:arm64 0.198ubuntu1
2016-07-19 20:39:32 status unpacked libdebconfclient0:arm64 0.198ubuntu1
2016-07-19 20:39:32 install libdevmapper1.02.1:arm64 <none> 2:1.02.110-1ubuntu10
2016-07-19 20:39:32 status half-installed libdevmapper1.02.1:arm64 2:1.02.110-1ubuntu10
2016-07-19 20:39:32 status unpacked libdevmapper1.02.1:arm64 2:1.02.110-1ubuntu10
2016-07-19 20:39:32 status unpacked libdevmapper1.02.1:arm64 2:1.02.110-1ubuntu10
2016-07-19 20:39:32 install libfdisk1:arm64 <none> 2.27.1-6ubuntu3
2016-07-19 20:39:32 status half-installed libfdisk1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:32 status unpacked libfdisk1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:32 status unpacked libfdisk1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:32 install libgcc1:arm64 <none> 1:6.0.1-0ubuntu1
2016-07-19 20:39:32 status half-installed libgcc1:arm64 1:6.0.1-0ubuntu1
2016-07-19 20:39:32 status unpacked libgcc1:arm64 1:6.0.1-0ubuntu1
2016-07-19 20:39:32 status unpacked libgcc1:arm64 1:6.0.1-0ubuntu1
2016-07-19 20:39:32 install libgcrypt20:arm64 <none> 1.6.5-2
2016-07-19 20:39:32 status half-installed libgcrypt20:arm64 1.6.5-2
2016-07-19 20:39:32 status unpacked libgcrypt20:arm64 1.6.5-2
2016-07-19 20:39:32 status unpacked libgcrypt20:arm64 1.6.5-2
2016-07-19 20:39:32 install libgpg-error0:arm64 <none> 1.21-2ubuntu1
2016-07-19 20:39:32 status half-installed libgpg-error0:arm64 1.21-2ubuntu1
2016-07-19 20:39:32 status unpacked libgpg-error0:arm64 1.21-2ubuntu1
2016-07-19 20:39:32 status unpacked libgpg-error0:arm64 1.21-2ubuntu1
2016-07-19 20:39:32 install libkmod2:arm64 <none> 22-1ubuntu4
2016-07-19 20:39:32 status half-installed libkmod2:arm64 22-1ubuntu4
2016-07-19 20:39:32 status unpacked libkmod2:arm64 22-1ubuntu4
2016-07-19 20:39:32 status unpacked libkmod2:arm64 22-1ubuntu4
2016-07-19 20:39:32 install liblzma5:arm64 <none> 5.1.1alpha+20120614-2ubuntu2
2016-07-19 20:39:32 status half-installed liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2016-07-19 20:39:32 status unpacked liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2016-07-19 20:39:32 status unpacked liblzma5:arm64 5.1.1alpha+20120614-2ubuntu2
2016-07-19 20:39:32 install libmount1:arm64 <none> 2.27.1-6ubuntu3
2016-07-19 20:39:32 status half-installed libmount1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:32 status unpacked libmount1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:32 status unpacked libmount1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:32 install libncurses5:arm64 <none> 6.0+20160213-1ubuntu1
2016-07-19 20:39:32 status half-installed libncurses5:arm64 6.0+20160213-1ubuntu1
2016-07-19 20:39:32 status unpacked libncurses5:arm64 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 status unpacked libncurses5:arm64 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 install libncursesw5:arm64 <none> 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 status half-installed libncursesw5:arm64 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 status unpacked libncursesw5:arm64 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 status unpacked libncursesw5:arm64 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 install libpam-modules:arm64 <none> 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status half-installed libpam-modules:arm64 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status unpacked libpam-modules:arm64 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status unpacked libpam-modules:arm64 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 install libpam-modules-bin:arm64 <none> 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status half-installed libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status unpacked libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status unpacked libpam-modules-bin:arm64 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 install libpam0g:arm64 <none> 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status half-installed libpam0g:arm64 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status unpacked libpam0g:arm64 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 status unpacked libpam0g:arm64 1.1.8-3.2ubuntu2
2016-07-19 20:39:33 install libpcre3:arm64 <none> 2:8.38-3.1
2016-07-19 20:39:33 status half-installed libpcre3:arm64 2:8.38-3.1
2016-07-19 20:39:33 status unpacked libpcre3:arm64 2:8.38-3.1
2016-07-19 20:39:33 status unpacked libpcre3:arm64 2:8.38-3.1
2016-07-19 20:39:33 install libprocps4:arm64 <none> 2:3.3.10-4ubuntu2
2016-07-19 20:39:33 status half-installed libprocps4:arm64 2:3.3.10-4ubuntu2
2016-07-19 20:39:33 status unpacked libprocps4:arm64 2:3.3.10-4ubuntu2
2016-07-19 20:39:33 status unpacked libprocps4:arm64 2:3.3.10-4ubuntu2
2016-07-19 20:39:33 install libseccomp2:arm64 <none> 2.2.3-3ubuntu3
2016-07-19 20:39:33 status half-installed libseccomp2:arm64 2.2.3-3ubuntu3
2016-07-19 20:39:33 status unpacked libseccomp2:arm64 2.2.3-3ubuntu3
2016-07-19 20:39:33 status unpacked libseccomp2:arm64 2.2.3-3ubuntu3
2016-07-19 20:39:33 install libselinux1:arm64 <none> 2.4-3build2
2016-07-19 20:39:33 status half-installed libselinux1:arm64 2.4-3build2
2016-07-19 20:39:33 status unpacked libselinux1:arm64 2.4-3build2
2016-07-19 20:39:33 status unpacked libselinux1:arm64 2.4-3build2
2016-07-19 20:39:33 install libsemanage-common:all <none> 2.3-1build3
2016-07-19 20:39:33 status half-installed libsemanage-common:all 2.3-1build3
2016-07-19 20:39:33 status unpacked libsemanage-common:all 2.3-1build3
2016-07-19 20:39:33 status unpacked libsemanage-common:all 2.3-1build3
2016-07-19 20:39:33 install libsemanage1:arm64 <none> 2.3-1build3
2016-07-19 20:39:33 status half-installed libsemanage1:arm64 2.3-1build3
2016-07-19 20:39:33 status unpacked libsemanage1:arm64 2.3-1build3
2016-07-19 20:39:33 status unpacked libsemanage1:arm64 2.3-1build3
2016-07-19 20:39:33 install libsepol1:arm64 <none> 2.4-2
2016-07-19 20:39:33 status half-installed libsepol1:arm64 2.4-2
2016-07-19 20:39:33 status unpacked libsepol1:arm64 2.4-2
2016-07-19 20:39:33 status unpacked libsepol1:arm64 2.4-2
2016-07-19 20:39:33 install libsmartcols1:arm64 <none> 2.27.1-6ubuntu3
2016-07-19 20:39:33 status half-installed libsmartcols1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:33 status unpacked libsmartcols1:arm64 2.27.1-6ubuntu3
